value;replacement
J. OPLETALA;JANA OPLETALA
PALACHOVA;JANA PALACHA
J. PALACHA;JANA PALACHA
SK¡CELOVA;JANA SK¡CELA
J. SK¡CELA;JANA SK¡CELA
J. WERICHA;JANA WERICHA
WERICHOVA;JANA WERICHA
KOMENSK…HO;JANA ¡MOSE KOMENSK…HO
J. A. KOMENSK…HO;JANA ¡MOSE KOMENSK…HO
KOMENSK…HO N¡MÃSTÕ;JANA ¡MOSE KOMENSK…HO
N¡MÃSTÕ KOMENSK…HO;JANA ¡MOSE KOMENSK…HO
JANA A. KOMENSK…HO;JANA ¡MOSE KOMENSK…HO
J. ¡. KOMENSK…HO;JANA ¡MOSE KOMENSK…HO
J. äTURSY;JANA äTURSY
äVERMOVA;JANA äVERMY
J. äVERMY;JANA äVERMY
éELIVSK…HO;JANA éELIVSK…HO
J. éELIVSK…HO;JANA éELIVSK…HO
ANT. JANOUäKA;JANOUäKOVA
GEN. JANOUäKA;JANOUäKOVA
DR. JANSK…HO;JANSK…HO
MUDR. JANA JANSK…HO;JANSK…HO
ARCH. JAN¡KA;JAN¡KOVA
LEOäE JAN¡»KA;JAN¡»KOVA
JOSEFA JAN¡»KA;JAN¡»KOVA
DR. JAN¡»KA;JAN¡»KOVA
L. JAN¡»KA;JAN¡»KOVA
L.JAN¡»KA;JAN¡»KOVA
KONE»N…HO;JAR. KONE»N…HO
DR. KONE»N…HO;JAR. KONE»N…HO
VEJVODOVA;JAROMÕRA VEJVODY
JAR. HAäKA;JAROSLAVA HAäKA
J. HAäKA;JAROSLAVA HAäKA
JAR. JEéKA;JAROSLAVA JEéKA
J. JEéKA;JAROSLAVA JEéKA
JAROSL. KOCI¡NA;JAROSLAVA KOCI¡NA
MISTRA JAROSLAVA KOCIANA;JAROSLAVA KOCI¡NA
KOCIANOVA;JAROSLAVA KOCI¡NA
KOCI¡NOVA;JAROSLAVA KOCI¡NA
JAR. SEIFERTA;JAROSLAVA SEIFERTA
SEIFERTOVA;JAROSLAVA SEIFERTA
J. SEIFERTA;JAROSLAVA SEIFERTA
VRCHLICK…HO;JAROSLAVA VRCHLICK…HO
JAR. VRCHLICK…HO;JAROSLAVA VRCHLICK…HO
GEN. JAROäE;JAROäOVA
KPT. OTAKARA JAROäE;JAROäOVA
KPT. JAROäE;JAROäOVA
KPT. O. JAROäE;JAROäOVA
KPT.JAROäE;JAROäOVA
OTAKARA JAROäE;JAROäOVA
B. JELÕNKA;JELÕNKOVA
HANUäE JELÕNKA;JELÕNKOVA
JAKUBA JELÕNKA;JELÕNKOVA
PETRA JILEMNICK…HO;JILEMNICK…HO
ALOISE JILEMNICK…HO;JILEMNICK…HO
P. JILEMNICK…HO;JILEMNICK…HO
PLACHTOVA;JINDÿICHA PLACHTY
PLACHTY;JINDÿICHA PLACHTY
J. PLACHTY;JINDÿICHA PLACHTY
BAAROVA;JINDÿICHA äIMONA BAARA
J. ä. BAARA;JINDÿICHA äIMONA BAARA
J. JINDÿICHA;JINDÿICHOVA
JINDÿICHA JINDÿICHA;JINDÿICHOVA
JANA JINDÿICHA;JINDÿICHOVA
FRANT. JINDÿICHA;JINDÿICHOVA
J. MAHENA;JIÿÕHO MAHENA
N¡MÃSTÕ JIÿÕHO;JIÿÕHO N¡MÃSTÕ
JIÿÕHO WOLKRA;JIÿÕHO WOLKERA
J. WOLKERA;JIÿÕHO WOLKERA
WOLKEROVA;JIÿÕHO WOLKERA
J. WOLKRA;JIÿÕHO WOLKERA
WOLKROVA;JIÿÕHO WOLKERA
J. Z PODÃBRAD;JIÿÕHO Z PODÃBRAD
J. JUNGMANNA;JOS. JUNGMANNA
BRABCOVA;JOSEFA BRABCE
DOBROVSK…HO;JOSEFA DOBROVSK…HO
J. DOBROVSK…HO;JOSEFA DOBROVSK…HO
ODBOJ¡ÿE JOSEFA FISCHERA;JOSEFA FISCHERA
HOROVA;JOSEFA HORY
J. HORY;JOSEFA HORY
J. K. TYLA;JOSEFA KAJET¡NA TYLA
J. LADY;JOSEFA LADY
JOS. M¡NESA;JOSEFA M¡NESA
PROF. SKUPY;JOSEFA SKUPY
SKUPOVA;JOSEFA SKUPY
PLK. STÿÕBRN…HO;JOSEFA STÿÕBRN…HO
J. SUKA;JOSEFA SUKA
SUKOVA;JOSEFA SUKA
JOS. SUKA;JOSEFA SUKA
J. TRUHL¡ÿE;JOSEFA TRUHL¡ÿE
PLK. TRUHL¡ÿE;JOSEFA TRUHL¡ÿE
J. VAL»ÕKA;JOSEFA VAL»ÕKA
UPRKOVA;JOéI ⁄PRKY
J. ⁄PRKY;JOéI ⁄PRKY
⁄PRKOVA;JOéI ⁄PRKY
J. JABŸRKOV…;JOéKY JABŸRKOV…
FU»ÕKOVA;JULIA FU»ÕKA
J. FU»ÕKA;JULIA FU»ÕKA
J. MAÿ¡KA;JULIA MAÿ¡KA
J. GAGARINA;JURIJE GAGARINA
GAGARINOVA;JURIJE GAGARINA
DR. J¡NSK…HO;J¡NSK…HO
GEN. KADLECE;KADLECOVA
FRANTIäKA KADLECE;KADLECOVA
MILANA KADLECE;KADLECOVA
BOH. KAFKY;KAFKOVA
FRANZE KAFKY;KAFKOVA
BOHUMILA KAFKY;KAFKOVA
Bÿ. KAFKY;KAFKOVA
JOSEFA KALINY;KALINOVA
KOL¡ÿE KALINY;KALINOVA
ANTONÕNA KALINY;KALINOVA
KPT. JASIOKA;KAPIT¡NA JASIOKA
K. HAVLÕ»KA BOROVSK…HO;KARLA HAVLÕ»KA BOROVSK…HO
K. H. BOROVSK…HO;KARLA HAVLÕ»KA BOROVSK…HO
K.HAVLÕ»KA BOROVSK…HO;KARLA HAVLÕ»KA BOROVSK…HO
BOROVSK…HO;KARLA HAVLÕ»KA BOROVSK…HO
K. HYNKA M¡CHY;KARLA HYNKA M¡CHY
K. H. M¡CHY;KARLA HYNKA M¡CHY
DR. KRAM¡ÿE;KARLA KRAM¡ÿE
K. KRYLA;KARLA KRYLA
K. MARXE;KARLA MARXE
STEINEROVA;KARLA STEINERA
DR. STEINERA;KARLA STEINERA
K.VIKA;KARLA VIKA
KARLA IV.;KARLA »TVRT…HO
KARLA IV;KARLA »TVRT…HO
PETRA KARLA;KARLOVA
ED. KARLA;KARLOVA
KAROLÕNY SVÃTL…;KAROLINY SVÃTL…
KAR. SVÃTL…;KAROLINY SVÃTL…
K. SVÃTL…;KAROLINY SVÃTL…
BOHUMILA KAVKY;KAVKOVA
BOH. KAVKY;KAVKOVA
JOSEFA KAVKY;KAVKOVA
MJR. KAäLÕKA;KAäLÕKOVA
B. KAäLÕKA;KAäLÕKOVA
A. KAäPARA;KAäPAROVA
JANA KAäPARA;KAäPAROVA
ADOLFA KAäPARA;KAäPAROVA
MUDR. KEP¡KA;KEP¡KOVA
GEN. KLAP¡LKA;KLAP¡LKOVA
DR. PAVLA KLEMENTA;KLEMENTOVA
DR. KLIMEäE;KLIMEäOVA
FRANTY KOCOURKA;KOCOURKOVA
DR. KOCOURKA;KOCOURKOVA
J. KOCOURKA;KOCOURKOVA
DR. KOLAÿÕKA;KOLAÿÕKOVA
JANA KOLL¡RA;KOLL¡ROVA
J. KOLL¡RA;KOLL¡ROVA
J¡NA KOLL¡RA;KOLL¡ROVA
FERDINANDA KOL¡ÿE;KOL¡ÿOVA
MARTINA KOL¡ÿE;KOL¡ÿOVA
JANA KOL¡ÿE;KOL¡ÿOVA
LAD. KOL¡ÿE;KOL¡ÿOVA
BIEBLOVA;KONSTANTINA BIEBLA
M.KONÃVA;KONÃVOVA
MARä¡LA KONÃVA;KONÃVOVA
MATÃJE KOPECK…HO;KOPECK…HO
ANTONÕNA KOPECK…HO;KOPECK…HO
BOHUMILA KOUBY;KOUBOVA
FR. KOUBY;KOUBOVA
JOSEFA KOV¡ÿE;KOV¡ÿOVA
VOJTÃCHA KOV¡ÿE;KOV¡ÿOVA
V. KRATOCHVÕLA;KRATOCHVÕLOVA
V¡CLAVA KRATOCHVÕLA;KRATOCHVÕLOVA
AUG. KRATOCHVÕLA;KRATOCHVÕLOVA
GEN. KRATOCHVÕLA;KRATOCHVÕLOVA
FRANTIäKA KRAUSE;KRAUSOVA
ARTURA KRAUSE;KRAUSOVA
äTÃP¡NA KREJ»ÕHO;KREJ»ÕHO
ALBÕNA KREJ»ÕHO;KREJ»ÕHO
FRANTIäKA KREJ»ÕHO;KREJ»ÕHO
A. KREJ»ÕHO;KREJ»ÕHO
JANA KREJ»ÕHO;KREJ»ÕHO
KR.HARANTA;KRYäTOFA HARANTA
ALOISE KR¡LE;KR¡LOVA
NPOR. KR¡LE;KR¡LOVA
JIÿÕHO KR¡LE;KR¡LOVA
GEN. KR¡TK…HO;KR¡TK…HO
PROF. KR¡TK…HO;KR¡TK…HO
RUDY KUBÕ»KA;KUBÕ»KOVA
KPT. KUBÕ»KA;KUBÕ»KOVA
DR. KUDELY;KUDELOVA
DR. FR. KUNY;KUNOVA
LUDVÕKA KUNY;KUNOVA
ALBERTA KU»ERY;KU»EROVA
VINCENCE KU»ERY;KU»EROVA
JAROSLAVA KU»ERY;KU»EROVA
K. KU»ERY;KU»EROVA
V¡CLAVA KU»ERY;KU»EROVA
N¡MÃSTÕ KPT. KU»ERY;KU»EROVO N¡MÃSTÕ
N¡MÃSTÕ J. KU»ERY;KU»EROVO N¡MÃSTÕ
N¡MÃSTÕ FR¡NI KU»ERY;KU»EROVO N¡MÃSTÕ
PETRA KÿI»KY;KÿI»KOVA
P. KÿI»KY;KÿI»KOVA
JAROSLAVA KÿI»KY;KÿI»KOVA
KARLA KÿÕéKA;KÿÕéKOVA
A. KÿÕéKA;KÿÕéKOVA
FR. KÿÕéKA;KÿÕéKOVA
FRANTIäKA KÿÕéKA;KÿÕéKOVA
A. KÿÕéE;KÿÕéOVA
LEOPOLDA KÿÕéE;KÿÕéOVA
MARTINA KÿÕéE;KÿÕéOVA
JANA KÿÕéE;KÿÕéOVA
»SL. LEGIÕ;LEGIÕ
ÿED. FR. LEH¡RA;LEH¡ROVA
L. MAäÕNOV…;LEONTINY MAäÕNOV…
GEN. LIäKY;LIäKOVA
äT⁄ROVA;LUDOVÕTA äT⁄RA
L. KUBY;LUDVÕKA KUBY
DR. VOJTÃCHA;LUDVÕKA VOJTÃCHA
JINDÿ. LUKEäE;LUKEäOVA
AUGUSTINA LUKEäE;LUKEäOVA
GEN. LUéI;LUéOVA
JIÿÕHO MACH¡»KA;MACH¡»KOVA
FRANTIäKA MACH¡»KA;MACH¡»KOVA
V¡CLAVA MAJERA;MAJEROVA
KARLA MAJERA;MAJEROVA
ANTONÕNA MAJERA;MAJEROVA
MAXE MAL…HO;MAL…HO
JAROMÕRA MAL…HO;MAL…HO
LADISLAVA MAL…HO;MAL…HO
DR. MAL…HO;MAL…HO
KAäPARA MAL…HO;MAL…HO
FRANTIäKA MALÕKA;MALÕKOVA
DR. JANA MALÕKA;MALÕKOVA
DR. MAREäE;MAREäOVA
F. V. MAREäE;MAREäOVA
ALOISE MAREäE;MAREäOVA
H‹BNEROV…;MARIE H€BNEROV…
MARIE H‹BNEROV…;MARIE H€BNEROV…
MARUäKY KUDEÿÕKOV…;MARIE KUDEÿÕKOV…
M. KUDEÿÕKOV…;MARIE KUDEÿÕKOV…
KUDEÿÕKOV…;MARIE KUDEÿÕKOV…
M. MAJEROV…;MARIE MAJEROV…
M. PUJMANOV…;MARIE PUJMANOV…
PUJMANOV…;MARIE PUJMANOV…
M. KR¡SOV…;MARTY KR¡SOV…
RYBALKOVA;MARä¡LA RYBALKA
éUKOVSK¡;MARä¡LA éUKOVA
éUKOVA;MARä¡LA éUKOVA
éUKOVOVA;MARä¡LA éUKOVA
KPT. MATÃJOVSK…HO;MATÃJOVSK…HO
äVABINSK…HO;MAXE äVABINSK…HO
M. äVABINSK…HO;MAXE äVABINSK…HO
DR. MI»OLY;METODÃJE MI»OLY
THDR. METODÃJE MI»OLY;METODÃJE MI»OLY
M. ALäE;MIKOL¡äE ALäE
ALäOVA;MIKOL¡äE ALäE
M. HOR¡KOV…;MILADY HOR¡KOV…
DR. HOR¡KOV…;MILADY HOR¡KOV…
DR.MILADY HOR¡KOV…;MILADY HOR¡KOV…
DR. M. HOR¡KOV…;MILADY HOR¡KOV…
DR. MILADY HOR¡KOV…;MILADY HOR¡KOV…
M. JUNGMANOV…;MILADY JUNGMANOV…
V. MORAVCE;MORAVCOVA
GEN. FRANTIäKA MORAVCE;MORAVCOVA
V¡CLAVA MORAVCE;MORAVCOVA
VLASTIMILA MORAVCE;MORAVCOVA
GEN. MR¡ZKA;MR¡ZKOVA
PLK. MR¡ZE;MR¡ZOVA
VÕTA NEJEDL…HO;NEJEDL…HO
V. NEJEDL…HO;NEJEDL…HO
VOJTÃCHA NEJEDL…HO;NEJEDL…HO
O. NEJEDL…HO;NEJEDL…HO
OTAKARA NEJEDL…HO;NEJEDL…HO
DR. NEJEDL…HO;NEJEDL…HO
ZDE“KA NEJEDL…HO;NEJEDL…HO
ZD. NEJEDL…HO;NEJEDL…HO
PABLA NERUDY;NERUDOVA
J. NERUDY;NERUDOVA
JOSEFA NERUDY;NERUDOVA
JANA NERUDY;NERUDOVA
FRANTIäKA NOHY;NOHOVA
JANA NOHY;NOHOVA
N. FR›DA;NORBERTA FR›DA
FR›DOVA;NORBERTA FR›DA
DR. NOVOTN…HO;NOVOTN…HO
R. NOVOTN…HO;NOVOTN…HO
FRANTIäKA NOVOTN…HO;NOVOTN…HO
P¡TERA J. NOVOTN…HO;NOVOTN…HO
FR. NOVOTN…HO;NOVOTN…HO
ARCH. NOVOTN…HO;NOVOTN…HO
ALOISE NOV¡KA;NOV¡KOVA
VÕT. NOV¡KA;NOV¡KOVA
V. NOV¡KA;NOV¡KOVA
MJR. NOV¡KA;NOV¡KOVA
FRANTIäKA NOV¡KA;NOV¡KOVA
VÕTÃZSLAVA NOV¡KA;NOV¡KOVA
LADISLAVA NOV¡KA;NOV¡KOVA
P. NOV¡KA;NOV¡KOVA
FLORI¡NA NOV¡KA;NOV¡KOVA
DR. NOV¡KA;NOV¡KOVA
KPT. NOV¡KA;NOV¡KOVA
ARNE NOV¡KA;NOV¡KOVA
PPLK. NOV¡»KA;NOV¡»KOVA
OLDÿICHA NOV…HO;NOV…HO
KARLA NOV…HO;NOV…HO
V¡CLAVA NOV…HO;NOV…HO
N¡BÿEéÕ DR. BENEäE;N¡BÿEéÕ DR. EDVARDA BENEäE
N¡BÿEéÕ EDVARDA BENEäE;N¡BÿEéÕ DR. EDVARDA BENEäE
N¡BÿEéÕ LUDVÕKA SVOBODY;N¡BÿEéÕ GEN. LUDVÕKA SVOBODY
POD N¡DRAéÕM;N¡DRAéNÕ
U N¡DRAéÕ;N¡DRAéNÕ
SÕDLIäTÃ U N¡DRAéÕ;N¡DRAéNÕ
J¡NA N¡LEPKY;N¡LEPKOVA
KPT. N¡LEPKY;N¡LEPKOVA
JANA N¡LEPKY;N¡LEPKOVA
9. KVÃTNA;N¡MÃSTÕ 9. KVÃTNA
N¡MÃSTÕ DR. BENEäE;N¡MÃSTÕ DR. EDUARDA BENEäE
N¡MÃSTÕ DR. E. BENEäE;N¡MÃSTÕ DR. EDUARDA BENEäE
N¡MÃSTÕ E. BENEäE;N¡MÃSTÕ DR. EDUARDA BENEäE
N¡MÃSTÕ EDVARDA BENEäE;N¡MÃSTÕ DR. EDUARDA BENEäE
