'Kod','CislaDomovni','IdentifikacniParcela','TypStavebnihoObjektuKod','ZpusobVyuzitiKod','CastObce','Momc','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','IsknBudovaId','Dokonceni','ZastavenaPlocha','NespravneUdaje','OznacenoDne','OznacenoInfo','IdentifikactniParcela','PocetBytu','PocetPodlazi','PodlahovaPlocha','VybaveniVytahemKod','x','y'
17208220,'5',2493594308,1,3,38938,,,2013-12-22,,441358,477547,300806308,,,,,,,1,1,,9,-740365.69,-1132207.5
17208319,'14',2493654308,1,3,38938,,,2013-12-22,,441358,477547,300886308,,,,,,,1,1,,2,-740126.38,-1131992.88
17208599,'42',2493537308,1,3,38938,,,2013-12-22,,441358,477547,300881308,,,,,,,2,1,,2,-740527.19,-1132204.88
17208688,'51',,1,,38938,,,2011-07-01,,0,0,,,,,,,,0,,,,-740430,-1132375
17208769,'59',2493696308,1,7,38938,,,2013-12-22,,441358,477547,300864308,,,,,,,1,1,,2,-740387.56,-1132062.13
17208831,'66',2493611308,1,3,38938,,,2013-12-22,,441358,477547,300803308,,,,,,,1,1,,2,-740272.31,-1132088.63
17208840,'67',2493608308,1,3,38938,,,2013-12-22,,441358,477547,300927308,,,,,,,1,1,,9,-740226.06,-1131982
17208912,'74',2493612308,1,3,38938,,,2013-12-22,,441358,477547,300858308,,,,,,,1,1,,2,-740378.94,-1132218.13
17208921,'75',2493607308,1,3,38938,,,2013-12-22,,441358,477547,300896308,,,,,,,1,1,,2,-740293.56,-1132065.63
17209013,'84',2493681308,1,3,38938,,,2013-12-22,,441358,477547,300930308,,,,,,,1,1,,2,-740773.19,-1132357.25
17209382,'7',3385259308,2,8,38938,,,2011-07-01,,0,0,526048308,,,,,,,0,,,,-741005,-1133640
17209391,'8',2494167308,2,8,38938,,,2011-07-01,,0,0,300874308,,,,,,,0,,,,-741040,-1133633.25
17209463,'26',,2,,38938,,,2011-07-01,,0,0,,,,,,,,0,,,,-740855,-1133594
17209544,'34',2493671308,2,8,38938,,,2011-07-01,,0,0,300829308,,,,,,,0,,,,-741235,-1133523
17209633,'43',2493695308,2,8,38938,,,2011-07-01,,0,0,300815308,,,,,,,0,,,,-741195,-1133369
17209714,'51',2493673308,2,8,38938,,,2011-07-01,,0,0,300839308,,,,,,,0,,,,-741298.13,-1133486.13
17210003,'28',2777696308,1,7,38946,,,2013-12-22,,441358,477547,338574308,,,,,,,1,1,,2,-741426.2,-1131040.33
17210283,'16',2513719308,1,7,50351,,,2013-12-22,,441325,477512,302538308,,,,,,,1,1,,9,-753980.7,-1131574.83
17210364,'24',2513726308,1,7,50351,,,2013-12-22,,441325,477512,302457308,,,,,,,1,1,,2,-754054.31,-1131499.04
17210453,'33',2513740308,1,7,50351,,,2013-12-22,,441325,477512,302395308,,,,,,,1,1,,2,-754328.87,-1131467.45
17210534,'41',2513752308,1,7,50351,,,2013-12-22,,441325,477512,302372308,,,,,,,1,1,,2,-754247.77,-1131221.1
17210615,'49',2513764308,1,7,50351,,,2013-12-22,,441325,477512,302474308,,,,,,,1,1,,9,-754117.64,-1131401.29
17210704,'58',2513811308,1,7,50351,,,2013-12-22,,441325,477512,302455308,,,,,,,1,1,,9,-752195.88,-1130198.98
17210984,'2',2514101308,2,8,50351,,,2011-07-01,,0,0,302518308,,,,,,,0,,,,-754120.2,-1132575.81
17211166,'8',2527608308,1,15,55476,,,2013-12-22,,441376,477570,304179308,,,,,,,2,1,,2,-725097.33,-1121836.78
17211247,'16',2527597308,1,5,55476,,,2013-12-22,,441376,477570,304331308,,,,,,,2,1,,2,-724988.81,-1121686.57
17211328,'24',2527588308,1,3,55476,,,2013-12-22,,441376,477570,303765308,,,,,,,1,1,,9,-724911.39,-1121684.31
17211417,'33',2527574308,1,3,55476,,,2013-12-22,,441376,477570,303777308,,,,,,,1,1,,2,-725054.68,-1121616.95
17211697,'63',2527514308,1,3,55476,,,2013-12-22,,441376,477570,304261308,,,,,,,2,1,,2,-725224.54,-1122349.51
17211786,'72',2527504308,1,3,55476,,,2013-12-22,,441376,477570,303785308,,,,,,,1,1,,2,-725393.3,-1122268.96
17211867,'80',2527490308,1,2,55476,,,2013-12-22,,441376,477570,303783308,,,,,,,1,1,,2,-725556.45,-1122211.48
17211948,'88',2527506308,1,3,55476,,,2013-12-22,,441376,477570,303796308,,,,,,,1,1,,2,-725366.44,-1122282.02
17212049,'100',2527487308,1,7,55476,,,2013-12-22,,441376,477570,303667308,,,,,,,1,1,,2,-725480.75,-1122128.83
17212111,'107',2527628308,1,3,55476,,,2013-12-22,,441376,477570,304220308,,,,,,,1,1,,2,-725450.26,-1122148.89
17212120,'108',2527636308,1,7,55476,,,2013-12-22,,441376,477570,304034308,,,,,,,1,1,,2,-724958.26,-1121806.98
17212201,'117',2527638308,1,7,55476,,,2013-12-22,,441376,477570,303629308,,,,,,,1,1,,2,-724816.13,-1121887.42
17212499,'146',2527678308,1,3,55476,,,2013-12-22,,441376,477570,303819308,,,,,,,2,1,,2,-725026.81,-1121445.15
17212561,'153',2527486308,1,3,55476,,,2013-12-22,,441376,477570,303675308,,,,,,,1,1,,2,-725644.66,-1121816.04
17212570,'154',2527688308,1,3,55476,,,2013-12-22,,441376,477570,303646308,,,,,,,1,1,,9,-725054.87,-1121353.81
17212642,'161',2527695308,1,3,55476,,,2013-12-22,,441376,477570,303628308,,,,,,,2,1,,2,-725106.81,-1121247.82
17212651,'162',2527714308,1,3,55476,,,2013-12-22,,441376,477570,304056308,,,,,,,2,1,,2,-725551.46,-1122136.96
17212731,'170',2527715308,1,3,55476,,,2013-12-22,,441376,477570,303759308,,,,,,,1,1,,2,-725156.54,-1121131.74
17212740,'171',2527703308,1,3,55476,,,2013-12-22,,441376,477570,303836308,,,,,,,1,1,,2,-725115.8,-1121174.17
17212812,'178',2527727308,1,3,55476,,,2013-12-22,,441376,477570,303689308,,,,,,,1,,,2,-724772.46,-1121926.9
17212821,'179',2527712308,1,3,55476,,,2013-12-22,,441376,477570,303695308,,,,,,,1,1,,9,-725715.2,-1122064.37
17213193,'216',2527785308,1,3,55476,,,2013-12-22,,441376,477570,303792308,,,,,,,1,1,,2,-725187.86,-1121481.78
17213274,'224',2527774308,1,3,55476,,,2013-12-22,,441376,477570,303880308,,,,,,,1,1,,2,-725632.92,-1122370.23
17213363,'234',2527803308,1,3,55476,,,2013-12-22,,441376,477570,303666308,,,,,,,1,1,,2,-725663.05,-1121932.93
17213444,'242',2527771308,1,3,55476,,,2013-12-22,,441376,477570,303892308,,,,,,,1,1,,9,-725311.29,-1120796.83
17213525,'250',2527797308,1,3,55476,,,2013-12-22,,441376,477570,304285308,,,,,,,8,1,,2,-725162.74,-1121225.34
17213606,'258',2527777308,1,3,55476,,,2013-12-22,,441376,477570,303929308,,,,,,,2,1,,2,-725173.43,-1120768.91
17213894,'287',2527851308,1,3,55476,,,2013-12-22,,441376,477570,303658308,,,,,,,1,1,,2,-725249.46,-1121325.22
17213975,'295',2527855308,1,3,55476,,,2013-12-22,,441376,477570,303698308,,,,,,,2,1,,2,-725145.59,-1121080.33
17214076,'305',2527883308,1,3,55476,,,2013-12-22,,441376,477570,303730308,,,,,,,2,1,,2,-724885.59,-1121312.6
