'Kod','CisloDomovni','CisloOrientacni','CisloOrientacniPismeno','Psc','StavebniObjekt','Ulice','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo','x','y'
'6644937','128',,,'39117','6599729',,,'2013-12-05',,'421239','468001',,,,'-731081.83','-1129953.88'
'6645127','147',,,'39117','6599915',,,'2013-12-05',,'421239','468001',,,,'-730261.75','-1130090.22'
'6645356','170',,,'39117','6600140',,,'2013-12-05',,'421239','468001',,,,'-731152.43','-1129980.46'
'6645445','179',,,'39117','6600239',,,'2013-12-05',,'421239','468001',,,,'-730349.79','-1130109.26'
'6645518','186',,,'39117','6600301',,,'2013-12-05',,'421239','468001',,,,'-730115.74','-1130233.76'
'6645577','193',,,'39117','6600361',,,'2013-12-05',,'421239','468001',,,,'-730215.02','-1130277.77'
'6645771','213',,,'39117','6600565',,,'2013-12-05',,'421239','468001',,,,'-730720.38','-1130200.06'
'6645801','216',,,'39117','6600590',,,'2013-12-05',,'421239','468001',,,,'-730935.46','-1129967.56'
'6645909','235',,,'39117','6600697',,,'2013-12-05',,'421239','468001',,,,'-731290.03','-1130388.19'
'6645933','3',,,'39201','6600727',,,'2013-12-04',,'419078','466386',,,,'-724426.63','-1128404.63'
'6645992','9',,,'39201','6600786',,,'2013-12-04',,'419078','466386',,,,'-724341.5','-1128647.88'
'6646077','17',,,'39201','6600867',,,'2013-12-04',,'419078','466386',,,,'-724327','-1128537'
'6646140','24',,,'39201','6600930',,,'2013-12-04',,'419078','466386',,,,'-724169.63','-1128527.63'
'6646166','26',,,'39201','6600956',,,'2013-12-04',,'419078','466386',,,,'-724129.69','-1128483.13'
'6646212','31',,,'39201','6601006',,,'2013-12-04',,'419078','466386',,,,'-724387.56','-1128501.25'
'6646468','56',,,'39201','6601251',,,'2013-12-04',,'419078','466386',,,,'-724497.94','-1128249.63'
'6646697','4',,,'39143','6601481',,,'2013-12-03',,'417785','465462',,,,'-724030.69','-1101421.25'
'6646735','8',,,'39143','6601529',,,'2013-12-03',,'417785','465462',,,,'-724030.06','-1101498'
'6646786','2',,,'39143','6601570',,,'2013-12-03',,'417785','465462',,,,'-723201.38','-1100705.63'
'6647197','17',,,'39201','6601987',,,'2013-12-04',,'419439','466615',,,,'-729155.94','-1141486.75'
'6647286','26',,,'39201','6602070',,,'2013-12-04',,'419439','466615',,,,'-728901.63','-1141496.25'
'6647405','38',,,'39201','6602193',,,'2013-12-04',,'419439','466615',,,,'-729074.25','-1141403'
'6647502','48',,,'39201','6602291',,,'2013-12-04',,'419439','466615',,,,'-728686.81','-1141334.88'
'6647715','11',,,'39131','6602509',,,'2013-12-03',,'416474','462805',,,,'-743196.2','-1112213.49'
'6647774','18',,,'39131','6602568',,,'2013-12-03',,'416474','462805',,,,'-743194.61','-1112164.62'
'6647791','21',,,'39131','6602584',,,'2013-12-03',,'416474','462805',,,,'-743236.26','-1112231.3'
'6648002','11',,,'39131','6602797',,,'2013-12-03',,'416474','462805',,,,'-743094.96','-1113576.38'
'6648045','15',,,'39131','6602835',,,'2013-12-03',,'416474','462805',,,,'-743235.05','-1113600.31'
'6648398','13',,,'39131','6603181',,,'2013-12-03',,'416474','462805',,,,'-744999.83','-1113919.9'
'6648614','35',,,'39131','6603408',,,'2013-12-03',,'416474','462805',,,,'-744907.03','-1113923.35'
'6648720','46',,,'39131','6603513',,,'2013-12-03',,'416474','462805',,,,'-744981.46','-1114055.33'
'6648771','3',,,'39131','6603564',,,'2013-12-03',,'416474','462805',,,,'-742136.49','-1114578.72'
'6648819','7',,,'39131','6603602',,,'2013-12-03',,'416474','462805',,,,'-742119.78','-1114518.71'
'6648827','8',,,'39131','6603611',,,'2013-12-03',,'416474','462805',,,,'-742007.35','-1114481.85'
'6648932','1',,,'39131','6603726',,,'2013-12-03',,'416474','462805',,,,'-742172','-1112736.63'
'6649246','32',,,'39131','6604030',,,'2013-12-03',,'416474','462805',,,,'-741889.13','-1112804.75'
'6649289','36',,,'39131','6604072',,,'2013-12-03',,'416474','462805',,,,'-741578','-1113078.88'
'6649297','37',,,'39131','6604081',,,'2013-12-03',,'416474','462805',,,,'-741638.34','-1113061.29'
'6649327','40',,,'39131','6604111',,,'2013-12-03',,'416474','462805',,,,'-741805.98','-1112852.3'
'6649394','49',,,'39131','6604188',,,'2013-12-03',,'416474','462805',,,,'-741876','-1112770.63'
'6649467','7',,,'39201','6604251',,,'2013-12-04',,'420887','467649',,,,'-727972.81','-1138176.5'
'6649483','9',,,'39201','6604277',,,'2013-12-04',,'420887','467649',,,,'-727960','-1138120'
'6649572','19',,,'39201','6604366',,,'2013-12-04',,'420887','467649',,,,'-728106.56','-1137930.38'
'6649840','47',,,'39201','6604633',,,'2013-12-04',,'420887','467649',,,,'-727918.06','-1138094'
